date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:16	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63693660-b60db21ab239e09d;gz%22	https://www.melaniedev.com/robots.txt		(from )
17:19:16	46480/46480	---M-Z	200	added ('OK')	text/html	etag:%22b590-646b6af2-4bd793aa2c8089f3;gz%22	https://www.melaniedev.com/	C:/Mes%20Sites%20Web/test/www.melaniedev.com/index.html	(from )
17:19:16	9662/9662	---M-Z	200	added ('OK')	image/x-icon	etag:%2225be-63d69526-6f2df2d4a65b2b39;gz%22	https://www.melaniedev.com/favicon.ico	C:/Mes%20Sites%20Web/test/www.melaniedev.com/favicon.ico	(from https://www.melaniedev.com/)
17:19:16	68028/68028	---MCZ	200	added ('OK')	text/css	etag:W/%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/Mes%20Sites%20Web/test/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://www.melaniedev.com/)
17:19:17	20139/20139	---M-Z	200	added ('OK')	text/css	etag:%224eab-64244bd0-483be9413c000c73;gz%22	https://www.melaniedev.com/style.css	C:/Mes%20Sites%20Web/test/www.melaniedev.com/style.css	(from https://www.melaniedev.com/)
17:19:17	2659081/2659081	---M--	200	added ('OK')	application/pdf	etag:%22289309-641224a0-da0894950700e035;;;%22	https://www.melaniedev.com/cvmelanie.pdf	C:/Mes%20Sites%20Web/test/www.melaniedev.com/cvmelanie.pdf	(from https://www.melaniedev.com/)
17:19:18	1506376/1506376	---M--	200	added ('OK')	image/png	etag:%2216fc48-63d69529-f768a56b4743a94d;;;%22	https://www.melaniedev.com/image/photo22.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/photo22.png	(from https://www.melaniedev.com/)
17:19:18	2361839/2361839	---M--	200	added ('OK')	image/png	etag:%222409ef-646b6a65-a27b8d1aa3da5062;;;%22	https://www.melaniedev.com/image/home223.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/home223.png	(from https://www.melaniedev.com/)
17:19:18	4769793/4769793	---M--	200	added ('OK')	image/jpeg	etag:%2248c801-63d7c34a-fb7ac61527e085a2;;;%22	https://www.melaniedev.com/image/img__about-3.jpg	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/img__about-3.jpg	(from https://www.melaniedev.com/)
17:19:18	585503/585503	---M--	200	added ('OK')	image/png	etag:%228ef1f-63d6952b-ae772530d2dfcc27;;;%22	https://www.melaniedev.com/image/1Plan%20de%20travail%201.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/1Plan%20de%20travail%201.png	(from https://www.melaniedev.com/)
17:19:18	528133/528133	---M--	200	added ('OK')	image/png	etag:%2280f05-63d69528-4abd9d5ff700fc3b;;;%22	https://www.melaniedev.com/image/JontiWild1.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/JontiWild1.png	(from https://www.melaniedev.com/)
17:19:19	530235/530235	---M--	200	added ('OK')	image/png	etag:%228173b-63d69529-1f0b5bf4b23a2cfe;;;%22	https://www.melaniedev.com/image/WestSurfSpot1.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/WestSurfSpot1.png	(from https://www.melaniedev.com/)
17:19:19	4496679/4496679	---M--	200	added ('OK')	image/png	etag:%22449d27-64124637-94128bfc7947a8b2;;;%22	https://www.melaniedev.com/image/gameboy.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/gameboy.png	(from https://www.melaniedev.com/)
17:19:19	314612/314612	---M--	200	added ('OK')	image/png	etag:%224ccf4-63d69528-a66a6905acc97aa5;;;%22	https://www.melaniedev.com/image/melaniedev1.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/melaniedev1.png	(from https://www.melaniedev.com/)
17:19:19	97430/97430	---M--	200	added ('OK')	image/png	etag:%2217c96-63d69529-8626fddadc2a566c;;;%22	https://www.melaniedev.com/image/Geevit1.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/Geevit1.png	(from https://www.melaniedev.com/)
17:19:19	19781/19781	---M--	200	added ('OK')	image/png	etag:%224d45-63d69528-c86386eb0e1f73e2;;;%22	https://www.melaniedev.com/image/waves2.png	C:/Mes%20Sites%20Web/test/www.melaniedev.com/image/waves2.png	(from https://www.melaniedev.com/)
17:19:20	16612/16612	---M-Z	200	added ('OK')	application/x-javascript	etag:%2240e4-63d69526-b967e1f6b28e8afc;gz%22	https://www.melaniedev.com/scrollreveal.min.js	C:/Mes%20Sites%20Web/test/www.melaniedev.com/scrollreveal.min.js	(from https://www.melaniedev.com/)
17:19:20	89031/89031	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215bc7-63d69526-c1a811a47e75ae5e;gz%22	https://www.melaniedev.com/mixitup.min.js	C:/Mes%20Sites%20Web/test/www.melaniedev.com/mixitup.min.js	(from https://www.melaniedev.com/)
17:19:20	4641/4641	---M-Z	200	added ('OK')	application/x-javascript	etag:%221221-64244bb3-42c91e031db9e4bd;gz%22	https://www.melaniedev.com/script.js	C:/Mes%20Sites%20Web/test/www.melaniedev.com/script.js	(from https://www.melaniedev.com/)
